buildingid
30714
33842
33843
33844
14114
16383
38850
42242
42695
42248
6183
29018
8302
22833
22840
27603
23134
43709
27549
21498
21498
43647
117066
84210
48724
89745
78215
137961
373952
218214
218216
388949
349507
287852
287851
287849
383021
383024
383025
383028
355160
218226
217282
205746
205742
355454
340087
323643
222826
287456
291198
352206
221457
221353
243811
243836
347738
248835
324112
247712
347772
209767
247123
247124
246461
226482
248636
250398
250415
344339
244774
244772
347199
347209
347244
303589
347242
346496
244775
244775
433052
416621
421463
422499
421507
421607
661473
557654
655658
686953
671254
629716
8101
8097
388952
43647
27603
22840
218226
1014563
224141
807986
807986
807986
807986
807988
807987
1014557
1014563
1009160
807985
808617
808617
808617
808617
808617
10007
661475
661479
661482
